title,status,size_mw,size_mwh,year_operational,technology,owner,categories,latitude,longitude,state
Mates Gully,Proposed,150.0,300.0,2027,N/A,Spark Renewables,4,-31.52,148.51,NSW
Limondale,Announced,50.0,400.0,2025,N/A,RWE,2,-34.2,142.35,NSW
Muchea ,Construction,150.0,615.0,2027,Unspecified,Neoen,3,-31.58,115.96,WA
Fulham,Construction,80.0,100.0,2025,SMA,Octopus,3,-38.18,147.18,VIC
Derby Battery,Construction,100.0,100.0,2024,N/A,Sungrow,3,-17.31,123.63,WA
SEC Renewable Energy Hub,Construction,100.0,200.0,2027,Energy Vault.,SEC.,3,-26.82219029986793,120.8082600084,WA
Tomago,Construction,500.0,2000.0,2027,Fluence,AGL,3,-32.84,151.64,NSW
Elaine,Construction,315.0,1244.0,,Tesla,Akaysha Energy,3,-37.85,143.96,VIC
Blind Creek,Construction,243.0,486.0,2027,"Wartsila, SMA","Octopus Australia, CEFC",3,-38.21,146.35,VIC
Brinkworth,Proposed,300.0,1200.0,,,Akaysha Energy,4,-33.68,138.34,SA
Mobilong,Proposed,200.0,800.0,,,Akaysha Energy,4,-35.13,139.28,SA
Brendale,Operating,205.0,410.0,2025,Tesla Megapack,Akaysha Energy,1,-27.31,152.98,QLD
Marulan,Announced,150.0,600.0,,,Terrain Solar,2,-34.72,150.04,NSW
Templers,Operating,138.0,330.0,2025,Sungrow,Zen Energy,1,-34.45,138.78,SA
Collie BESS,Operating,500.0,2000.0,2025,CATL,Synergy,1,-33.205210186245644,116.25992953156049,WA
Blackstone,Announced,500.0,1000.0,2025,Lithium-ion,Octopus,2,-26.08,142.03,QLD
Smithfield,Operating,65.0,130.0,2025,,Iberdrola,1,-16.831498711308964,145.82912641967835,QLD
Summerfield,Construction,240.0,480.0,2027,Canadian Solar,CIP,3,-37.08,143.95,VIC
Mugga Lane,Construction,12.0,24.0,2024,Tesla Megapack,LGI,3,-35.41,149.11,ACT
Bennetts Creek,Construction,100.0,223.0,2027,Wartsila.,Flow Power,3,-38.22,146.4,VIC
Yanco Delta,Proposed,400.0,800.0,2027,N/A,Origin Energy,4,-35.28,145.58,NSW
Koolunga,Announced,200.0,800.0,2028,N/A,Equis,2,-33.38,138.36,SA
Calala,Construction,250.0,500.0,2027,Tesla,Equis Developments,3,-31.15,150.95,NSW
Lower Wonga,Announced,200.0,800.0,2027,N/A,Equis Developments,2,-26.15,152.67,QLD
Myrtle Creek ,Construction,275.0,2200.0,2026,LFP,Ark Energy,3,-30.5,151.7,NSW
Goulburn River,Construction,49.0,392.0,2026,,Lightsource Development,3,-32.23,150.3,NSW
Wurdong,Announced,400.0,1600.0,,,Akaysha Energy,2,-23.9,151.26,QLD
Hallett,Construction,50.0,245.0,2027,NHOA,EnergyAustralia,3,-33.48,138.93,SA
Kwinana 2,Operating,200.0,900.0,2025,CATL,Synergy,1,-32.14555853050392,115.62573271244042,WA
Bellevue Gold,Operating,15.0,33.0,2025,,Bellevue Gold,1,-28.4710356596902,120.3886995431039,WA
Supernode,Construction,250.0,500.0,2025,Tesla Megapack,Quinbrook,3,-33.89,150.95,NSW
West Wyalong,Announced,50.0,90.0,2026,N/A,Lightsource bp.,2,-33.93,147.21,NSW
Merredin BESS,Construction,,,,,,3,-31.52409238975722,118.11414614826775,WA
Punchs Creek,Construction,400.0,600.0,2028,N/A,EDPR,3,-31.92,149.5,NSW
Dedarang,Proposed,200.0,400.0,2027,N/A,Mint Renewables,4,-36.73,145.22,VIC
Bendemeer,Announced,,,2028,N/A,Athena Renewables,2,-30.88,151.15,NSW
Territory,Proposed,300.0,600.0,2028,N/A,Neoen,4,-12.5,131.0,NT
Moorabool,Proposed,300.0,600.0,2028,N/A,Neoen,4,-37.92,144.07,VIC
Great Lakes,Proposed,280.0,560.0,2028,N/A,Neoen,4,-32.2,152.2,NSW
Darling Downs,Announced,500.0,2000.0,2027,,Origin Energy,2,-27.5,151.0,QLD
Templers Creek,Proposed,200.0,800.0,,,Origin Energy,4,-34.45,138.78,SA
Wellington Town,Proposed,50.0,400.0,2027,N/A,RWE,4,-32.56,148.94,NSW
Kathleen Valley,Operating,17.0,19.0,2024,N/A,Liontown Resources,1,-27.948861586263185,120.8144429258359,WA
Clements Gap,Construction,60.0,130.0,2026,N/A,Pacific Blue,3,-20.118409731180716,132.99821227878394,NT
Quorn Park Hybrid,Construction,20.0,40.0,2026,N/A,Enel Green Power Australia.,3,-32.34,138.03,SA
Cobbora,Announced,400.0,1600.0,,,Pacific Partnerships.,2,-32.78,149.37,NSW
Hughes Road,Announced,200.0,800.0,,,Bay-Wa,2,-34.52,147.18,NSW
Wimmera Plains,Announced,100.0,400.0,,,Bay-Wa,2,-36.53,142.42,VIC
Gin Gin,Proposed,500.0,400.0,,,Iberdrola,4,-25.0,151.96,QLD
Kingswood,Construction,100.0,1080.0,,,Iberdrola,3,-33.75,150.71,NSW
Mortlake Energy Hub,Announced,300.0,600.0,2026,,BrightNight,2,-38.08,142.81,VIC
Tallawang,Announced,500.0,1000.0,,,Enel Green Power,2,-27.11520848722491,121.01341364389967,WA
Waroona,Announced,80.0,320.0,,,Frontier Energy,2,-26.990099763856183,120.8129074398419,WA
Limestone Coast,Construction,250.0,750.0,2026,Trina,Pacific Green.,3,-37.85,140.79,SA
Springvale Energy Hub,Construction,115.0,230.0,2027,,Progress Power.,3,-37.95,145.15,VIC
Broadsound,Construction,180.0,360.0,2026,,Iberdrola.,3,-22.5,149.5,QLD
Kemerton,Announced,660.0,640.0,,,Trina Solar,2,-33.35,115.79,WA
Portland Energy Park,Announced,,500.0,,,Pacific Green,2,-38.34,141.6,VIC
Pottinger Energy Park,Announced,400.0,600.0,,,Someva Renewables and AGL Energy.,2,-33.78,149.3,NSW
The Plains,Announced,400.0,600.0,,,Engie,2,-34.78,142.5,VIC
Goyder North,Construction,226.0,866.0,2029,,Neoen,3,-33.52,138.73,SA
Tramway Road,Announced,300.0,1200.0,2026,N/A,Eku Energy.,2,-26.948430428697016,120.94249148990299,WA
Solar River,Construction,170.0,653.0,2026,,Zen Energy,3,-34.04,138.78,SA
Conargo,Proposed,150.0,1200.0,2029,,Squadron Energy,4,-35.28,145.14,NSW
Maison Dieu,Announced,40.0,80.0,2027,,Terrain Solar,2,-31.07,151.6,NSW
Capricorn,Announced,300.0,200.0,,,Potentia Energy,2,-23.38,150.51,QLD
Barwon ,Construction,250.0,500.0,2027,,Elgin Energy,3,-38.14,144.35,VIC
Glanmire,Construction,52.0,104.0,2027,,Elgin Energy,3,-30.46,152.52,NSW
Barnawartha,Construction,64.0,148.0,2027,,Petronas,3,-26.863132453956435,120.95613718852746,WA
Junction Rivers,Construction,250.0,500.0,2027,,Windlab,3,-28.5,152.0,QLD
Majors Creek ,Construction,150.0,600.0,2027,,Edify Energy,3,-35.56,149.52,NSW
Emeroo,Announced,200.0,900.0,2027,N/A,Potentia Energy,2,-32.3,148.8,NSW
Clare,Proposed,100.0,200.0,,,Potentia Energy,4,-33.83,138.61,SA
Samsung Romani,Announced,350.0,400.0,,Samsung,Samsung,2,-29.878645582654496,135.07226130613554,SA
Cooma,Proposed,80.0,320.0,,,Acen Renewables,4,-36.24,148.71,NSW
Deargee,Announced,700.0,2800.0,,,Acen Renewables,2,-31.5,150.98,NSW
West Mokoan,Construction,160.0,560.0,2027,,Lightsource BP,3,-36.44,145.97,VIC
Ganymirra,Construction,150.0,600.0,2027,,Edify Energy,3,-36.51,145.42,VIC
Swallow Tail,Announced,375.0,1500.0,2027,,Ampyr Energy,2,-26.95977260639384,121.09990193669924,WA
Wunghnu,Operating,76.0,,2024,N/A,Lightsource bp,11,-36.26,145.46,VIC
Glenellen,Construction,,,2025,N/A,GPG,13,-36.82,142.39,VIC
Horsham,Construction,118.0,,2025,N/A,SEC,13,-36.71,142.21,VIC
Wellington North,Operating,112.0,,2024,N/A,:Lightsource bp,11,-32.59,149.04,NSW
Derby,Construction,95.0,,2025,N/A,Sungrow,13,-36.5,146.3,VIC
Quorn Park,Construction,80.0,,2026,N/A,Potentia Energy,13,-32.34,138.03,SA
Meadow Creek,Announced,250.0,1000.0,,Energy Vault,Meadow Creek Solar,2,-37.5,144.9,VIC
Cellars Hill,Announced,600.0,2400.0,,N/A,Cellars Hill Wind Farm,2,-36.9,140.6,SA
Bremer,Announced,850.0,400.0,,N/A,Libra Energy,2,-35.18,139.28,SA
St Ives,Construction,42.0,,2026,Goldwind,Goldfields,13,-30.47,121.36,WA
Baranduda,Announced,400.0,1800.0,,Catl,Birdwood Energy,2,-36.15,146.94,VIC
Armidale East BESS,Construction,315.0,1440.0,,Not yet announced,FRV Australia,3,-30.52,151.9,NSW
Sunny Corner,Proposed,500.0,2000.0,,Not yet announced,"Mainstream, Someva",4,-33.15,149.63,NSW
Griffith,Construction,100.0,800.0,,Not yet announced,Eku Energy,3,-34.29,146.04,NSW
Stoney Creek ,Construction,125.0,1000.0,2027,Energy Vault,Enervest,3,-36.59,146.48,VIC
Phoenix,Construction,800.0,1200.0,2031,,Acen Renewables.,13,-32.72,151.59,NSW
Barn Hill,Announced,270.0,1090.0,2028,N/A,AGL Energy.,2,-35.05,147.53,NSW
Bell Bay,Announced,100.0,400.0,2027,N/A,Equis Energy.,2,-41.15,146.87,TAS
Bundey,Construction,300.0,1200.0,2029,N/A,Genaspi Energy Group,3,-33.13,138.7,SA
Bungaban,Announced,350.0,1400.0,2027,N/A,Windland.,2,-26.85,150.29,QLD
Theodore,Announced,240.0,960.0,2029,N/A,RWE,2,-24.92,150.08,QLD
Gara,Announced,400.0,1760.0,2026,N/A,ACEnergy,2,-30.61,151.65,NSW
Denman,Announced,400.0,800.0,2028,N/A,Metlen Group,2,-32.39,150.69,NSW
